Label	Nume Ro	Descriere
ANIMALIC	Animalic	Aromele animalice folosite în parfumerie au rolul de a duce gândul şi simţutile spre caracterul flămând si vânătoresc al omului, imitând mirosul blănii lupului sau mirosul caviarului.
MINERAL	Mineral	În această grupă sunt plasate mirosule mai deosebite, mirosuri nepopulare şi mai ciudate cum ar fi mirosul argilei, al lipiciului industrial, notele metalice sau mirosuri mai fresh cum ar fi aerul de munte, sarea si mirosul de apă.
SPICY	Mirodenii	Condimentele sunt cunoscute în parfumerie pentru acelaşi efect ce îl au şi în alimente: intensifică experienţa purtătorului si oferă o aromă îndelungată datorită mirosurilor cald-orientale cum ar fi turmericul sau chimionul stelat, sau mirosurilor mai răcoritoare, cum ar fi cardamomul sau frunza de dafin.
WOODY	Lemnos	Această grupă cuprinde mirosul frunzelor de ceai și ierburi aromate, cum ar fi rozmarinul, menta, tarhonul, busuiocul. Aceste arome oferă parfumului uneori un miros cald, în timp ce alte ierburi oferă un miros mai răcoros.
SYNTHETIC	Sintetic	În această grupă sunt plasate mirosule mai deosebite, mirosuri nepopulare şi mai ciudate cum ar fi mirosul argilei, al lipiciului industrial, notele metalice sau mirosuri mai fresh cum ar fi aerul de munte, sarea si mirosul de apă.
BEVERAGES	Băuturi	Parfumurile au uneori în componenţă mirosul de băuturi populare, de la aroma de caramel de Coca-Cola,sau la mirosul fructat al securilor naturale , astfel, ele oferă parfumului un efect apetisant.
TEA	Ceai	Această grupă cuprinde mirosul frunzelor de ceai (ceai verde, roșu, alb, negru, Oolong) și ierburi aromate, cum ar fi rozmarinul, menta, tarhonul, busuiocul. Aceste arome oferă parfumului uneori un miros cald, în timp ce alte ierburi oferă un miros mai răcoros.
ALCOHOLIC_FERMENTED	Alcoolic-fermentat	Clasă de arome predominant naturale. Această clasă îmbogăţeşte aroma parfumului prin mirosul tare-dulceag de vin, sau prin mirosul cald-pudrat al şampaniei. Se îmbină de minune  cu aromele lemnoase sau orientale din parfumurile bărbateşti, cât şi din cele de damă.
RESINOUS	Răşini	Ingredientele răşinoase cuprind tămâia, smirna, catranul de mesteacăn. Ele provin din scoarţa arborilor sub forma cristalizată de "lacrimi" de răşina și armonizează de minune cu notele lemnoase.
GRAIN	Cereale	O grupă de arome de oferă simţurilor un miros cald, ce duce gândul spre grâul proaspăt cosit sau la mirosul de floarea-soarelui coaptă.
MOSSY	Muschi	Muşchii au un miros amărui ca de cerneală, de un verde intens, adânc, întunecos, ce recreează solul umed de pădure pe timp de toamnă.
BALSAMIC	Balsamic	Ingredientele cu miros uşor balsamic, (vanilia și benzoinul), sunt utilizate în cantităţi mari în combinaţie cu esenţe florale bogate, prelungindu-le efectul şi rezultând în arome denumite semi-orientale sau florientale.
SMOKY	Afumat	Grupă de mirosuri compuse din esenţe sintetice. Oferă un miros lemnos, pătrunzător ca de foc stins sau de cenuşă.
GREEN	Verde	Termenul de "verde" se referă la notele de frunze proaspăt rupte şi ierburi proaspăt tăiate, care exsudează o aromă picantă.
TEXTILE	Textil	Acestă clasă de note cuprinde esenţe sintetice ce imită parfumul de rufe proaspăt spălate si apretate.
AMBER	Ambră	Notele de ambră sunt un amestec de răşini ce produc un miros cald, dulceag şi foarte profund, cel mai adesea în cadrul familiei orientale.
LEATHER	Pielărie	Mirosul de piele este compus din esenţe sintetice. El imită mirosul cald dar şi puternic aromat şi afumat ar pielii tăbăcite, ce se îmbină perfect cu aromele lemnoase.
TOBBACO	Tabac	Mirosul de tabac este compus din esenţe sintetice. El oferă parfumului un miros ușor lemnos dar puternic aromat. Aceste esenţe se găsesc predominant în compoziţia parfumurilor bărbăteşti.
FRUITY	Fructat	Una din grupele predominante ale spectrului aromatic, aroma fructată oferă o textură nuanţată şi o senzaţie răcoritoare. Din această categorie fac parte fructele roşii cum ar fi zmeura sau căpşunele, ce dau parfumului un miros fresh-dulceag, dar si piersicile si prunele ce oferă o aromă cald-dulceagă.
FLORAL	Floral	Florile joacă un rol important în parfumerie, existând aproape în compoziţia tuturor parfumurilor într-o formă sau alta, de damă sau bărbătești deopotrivă. Se găsesc numeroase esențe florale extrase prin surse naturale, printre care: trandafirii şi iasomia, ce sunt celebre pentru aromele lor incomparabile.
